Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score,Flor_Cov_P1_b,Flor_Cov_P2_b,Flor_Cov_P3_b
8,TreeNestingBumblebees,18,Salix,20,20,NA,1.5413336,61.653344,19.0926276,19.0926276,19.39393939
8,TreeNestingBumblebees,19,Salt Marsh,NA,NA,16.44444444,0,0,5.454545455,5.454545455,33.12757202
8,TreeNestingBumblebees,20,Scrub,16.44444444,16.44444444,20,3.0826672,163.038843,13.45167653,13.45167653,45.89620485
8,TreeNestingBumblebees,21,Unimproved Meadow,20,20,18.4,1.5413336,90.01388224,12.83950617,12.83950617,72.08804283
8,TreeNestingBumblebees,22,Unimproved Permanent Grassland,18.4,18.4,4,0,0,11.25900206,11.25900206,64.18401745
8,TreeNestingBumblebees,23,Wetlands,4,4,20,0,0,5.3125,5.3125,44.44444444
8,TreeNestingBumblebees,24,Woodland Edges,20,20,NA,16.1840028,647.360112,17.7890625,17.7890625,50.27514
8,TreeNestingBumblebees,25,Other1 (please state),NA,NA,NA,NA,NA,5.204081633,5.204081633,73.95555556
8,TreeNestingBumblebees,26,Other2 (please state),NA,NA,17.33333333,NA,NA,10,10,66.66666667
8,TreeNestingBumblebees,27,Berries (exc. Strawberries & Raspberries),17.33333333,17.33333333,16.8,0,0,0,27.17261905,46.97222222
8,TreeNestingBumblebees,28,Broad/Field Beans,16.8,16.8,0,0,0,0,21.49122807,26.96655133
8,TreeNestingBumblebees,29,Buckwheat,0,0,1,NA,NA,0,0,6.666666667
8,TreeNestingBumblebees,30,Cereal,1,1,12,0,0,3.12605042,3.12605042,10.53416149
8,TreeNestingBumblebees,31,Linseed/Flax,12,12,NA,0,0,0,13.29931973,15.68047337
8,TreeNestingBumblebees,32,Maize,NA,NA,20,NA,NA,0.760869565,0.760869565,12.38095238
8,TreeNestingBumblebees,33,Oilseed Rape,20,20,20,0,0,0,29.53217956,19.77124183
8,TreeNestingBumblebees,34,Orchards,20,20,0,11.560002,462.40008,31.775,0,32.63333333
8,TreeNestingBumblebees,35,Organic Cereals,0,0,18.4,0,0,9.071180556,9.071180556,34.69387755
8,TreeNestingBumblebees,36,Organic Oilseed Rape,18.4,18.4,16,0,0,15.22491349,15.22491349,29.15555556
8,TreeNestingBumblebees,37,Peas,16,16,NA,0,0,0,10.79365079,22.11734694
8,TreeNestingBumblebees,38,Potatoes,NA,NA,NA,0,0,0,0,13.33333333
8,TreeNestingBumblebees,39,Reed Canary Grass,NA,NA,17.33333333,NA,NA,0,0,2.962962963
8,TreeNestingBumblebees,40,Strawberry/Raspberry in Polytunnels,17.33333333,17.33333333,18.66666667,0,0,0,48.44907407,61.61242604
8,TreeNestingBumblebees,41,Strawberry/Raspberry in the open,18.66666667,18.66666667,NA,0,0,0,10.0308642,61.44470868
8,TreeNestingBumblebees,42,Sugar Beet,NA,NA,12,NA,NA,0,0,20
8,TreeNestingBumblebees,43,Vegetables,12,12,NA,NA,NA,2.5,2.5,37.14285714
8,TreeNestingBumblebees,44,Other3 (please state),NA,NA,NA,NA,NA,NA,NA,NA
8,TreeNestingBumblebees,45,Other4 (please state),NA,NA,0,NA,NA,NA,NA,NA
8,TreeNestingBumblebees,46,Urban,0,0,,0,0,0,0,0
