Code_Spatial,Landclass_Spatial,Dataset_Spatial,Landclass_Traffic,Landclass_ExpOp,Landclass_ExpOp_Lowland,Landclass_ExpOp_Upland,Code_ExpOp_GFS,Landclass_ExpOp_GFS
186,Restricted Local Access Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
187,Secondary Access Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
190,RailTrack_MultiTrack,OSDistrict,,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
191,RailTrack_SingleTrack,OSDistrict,,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
80,canal,OSDistrict_OSRivers,,Freshwater_Canal,Freshwater_Canal,Freshwater_Canal,0,Unsuitable
81,inlandRiver,OSDistrict_OSRivers,,Freshwater_River,Freshwater_River,Freshwater_River,0,Unsuitable
82,lake,OSDistrict,,Freshwater_Lake,Freshwater_Lake,Freshwater_Lake,0,Unsuitable
83,tidalRiver,OSDistrict_OSRivers,,Saltwater,Saltwater,Saltwater,0,Unsuitable
84,stream,OSDistrict_OSRivers,,Freshwater_Stream,Freshwater_Stream,Freshwater_Stream,0,Unsuitable
85,pond,OSDistrict,,Freshwater_Pond,Freshwater_Pond,Freshwater_Pond,0,Unsuitable
NA,NoLand,,,NoLand,NoLand,NoLand,0,Unsuitable
