species,code,lu,ref_to,Flor_P1_b,Flor_P1_l,Flor_P1_u,Flor_P2_b,Flor_P2_l,Flor_P2_u,Flor_P3_b,Flor_P3_l,Flor_P3_u,Nest_P1_b,Nest_P1_l,Nest_P1_u,Nest_per_ha
7,4,4,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0.8,0.56,1.04,16
7,5,5,NA,12,7.2,16.8,12,7.2,16.8,12,7.2,16.8,0.2,0.16,0.24,4
7,6,6,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0.2,0.16,0.24,4
7,7,7,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,1,0.7,1.3,20
7,8,8,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0.4,0.28,0.52,8
7,9,9,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0,0,0,0
7,10,10,NA,8,4.8,11.2,8,4.8,11.2,8,4.8,11.2,0,0,0,0
7,11,11,NA,12,7.2,16.8,12,7.2,16.8,12,7.2,16.8,0.4,0.32,0.48,8
7,12,12,NA,12,7.2,16.8,12,7.2,16.8,12,7.2,16.8,0.8,0.56,1.04,16
7,13,13,NA,8,5.6,10.4,8,5.6,10.4,8,5.6,10.4,0,0,0,0
7,14,14,NA,8,6.4,9.6,8,6.4,9.6,8,6.4,9.6,0,0,0,0
7,15,15,NA,16,9.6,22.4,16,9.6,22.4,16,9.6,22.4,1,0.7,1.3,20
7,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
7,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,20,20,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0.8,0.56,1.04,16
7,21,21,NA,20,12,28,20,12,28,20,12,28,0.4,0.24,0.56,8
7,22,22,NA,20,14,26,20,14,26,20,14,26,0.4,0.24,0.56,8
7,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,24,24,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0.6,0.36,0.84,12
7,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,27,27,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,28,28,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
7,30,30,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,31,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,32,32,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33,33,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,34,34,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,35,35,NA,8,4.8,11.2,8,4.8,11.2,8,4.8,11.2,0,0,0,0
7,36,36,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,40,40,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,41,41,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,0,0,0,0
7,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,43,43,NA,12,7.2,16.8,12,7.2,16.8,12,7.2,16.8,0,0,0,0
7,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,NA,4,-0.242640687,8.242640687,4,-0.242640687,8.242640687,4,-0.242640687,8.242640687,0.466666667,0.395955989,0.537377345,8.991112667
8,2,2,NA,2,0.488142108,3.511857892,2,0.488142108,3.511857892,2,0.488142108,3.511857892,0,0,0,0
8,3,3,NA,1.333333333,-0.080880229,2.747546896,1.333333333,-0.080880229,2.747546896,1.333333333,-0.080880229,2.747546896,0.533333333,0.462622655,0.604044011,10.27555733
8,4,4,NA,16,16,16,16,16,16,16,16,16,0.84,0.693940651,0.986059349,16.1840028
8,5,5,NA,10.28571429,8.773856394,11.79757218,10.28571429,8.773856394,11.79757218,10.28571429,8.773856394,11.79757218,0.08,0.006970326,0.153029674,1.5413336
8,6,6,NA,12.57142857,9.547712787,15.59514436,12.57142857,9.547712787,15.59514436,12.57142857,9.547712787,15.59514436,0.066666667,-0.004044011,0.137377345,1.284444667
8,7,7,NA,20,20,20,20,20,20,20,20,20,1,1,1,19.26667
8,8,8,NA,4,0.976284216,7.023715784,4,0.976284216,7.023715784,4,0.976284216,7.023715784,0.133333333,-0.008088023,0.27475469,2.568889333
8,9,9,NA,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,0,0,0,0
